5 0 1 108,731 890692 0.013368969498396088 0 78738 false
5 1 2 113,421 929166 0.010703851188912714 0 82134 false
5 2 3 113,708 931487 0.014050928176478971 0 82342 false
5 3 4 113,715 931519 0.01424609906216803 0 82347 false
5 4 5 113,711 931518 0.01259020004109621 0 82344 false
5 5 6 113,708 931530 0.012297892069963814 0 82342 false
5 6 7 113,488 929685 0.012544330620397968 0.19673325642115488 82345 false
5 7 8 113,713 931527 0.012584857578617414 0 82346 false
5 8 9 113,711 931540 0.012470006413839833 0 82344 false
5 9 10 113,713 931539 0.01301876587255876 0 82346 false
5 10 11 113,712 931530 0.01141336328871952 0 82345 false
5 11 12 113,709 931503 0.014587044501692237 0 82343 false
5 12 13 113,712 931504 0.012429968452325694 0 82345 false
5 13 14 113,709 931523 0.013688855766117804 0 82343 false
5 14 15 113,713 931524 0.014118806366003675 0 82346 false
5 15 16 113,712 931546 0.013557094806291635 0 82345 false
5 16 17 113,709 931501 0.014213765699163636 0 82343 false
5 17 18 113,716 931525 0.014357280560840732 0 82348 false
5 18 19 113,708 931535 0.014500205330665596 0 82342 false
5 19 20 113,713 931508 0.012558115516278051 0 82346 false
5 20 21 113,712 931521 0.014260359591226467 0 82345 false
5 21 22 113,711 931556 0.012521403556480095 0 82344 false
5 22 23 113,709 931495 0.014448733550361267 0 82343 false
5 23 24 113,715 931525 0.012597760750117521 0 82347 false
5 24 25 113,708 931529 0.011870997080400687 0 82342 false
5 25 26 113,715 931513 0.013919079030201923 0 82347 false
5 26 27 113,708 931522 0.012498368052574324 0 82342 false
5 27 28 113,713 931548 0.01246753788143728 0 82346 false
5 28 29 113,712 931492 0.014507562794713776 0 82345 false
5 29 30 113,708 931530 0.015425423620578289 0 82342 false
5 30 31 113,711 931515 0.01434194673719082 0 82344 false
5 31 32 113,716 931564 0.011599172795849811 0 82348 false
5 32 33 113,712 931485 0.014429498090201555 0 82345 false
5 33 34 113,711 931558 0.012255240391128693 0 82344 false
5 34 35 113,709 931484 0.01439321792831449 0 82343 false
5 35 36 113,711 931523 0.013484517160748053 0 82344 false
5 36 37 113,525 929991 0.013233032473939862 0.16515677749981783 82346 false
5 37 38 113,709 931522 0.012725104042593808 0 82343 false
5 38 39 113,481 929630 0.012683025146116229 0 82178 false
5 39 40 113,711 931532 0.01317240345140837 0 82344 false
5 40 41 113,704 931456 0.013299700545876926 0 82339 false
5 41 42 113,715 931556 0.012104405544209846 0 82347 false
5 42 43 113,708 931485 0.014107665791300336 0 82342 false
5 43 44 113,713 931548 0.01303978692926642 0 82346 false
5 44 45 113,711 931518 0.012478108620949412 0 82344 false
5 45 46 113,709 931495 0.012631332063157991 0 82343 false
5 46 47 113,641 930924 0.012493744897655236 0.0631481796322833 82346 false
5 47 48 113,608 930714 0.011907037111932268 0 82270 false
5 48 49 113,636 930874 0.01421312081378203 0 82290 false
5 49 50 113,711 931550 0.012542094512833654 0 82344 false
5 50 51 113,704 931460 0.013584185776394093 0 82339 false
5 51 52 113,712 931526 0.012656545192585978 0 82345 false
5 52 53 113,712 931490 0.012564318575846313 0 82345 false
5 53 54 113,709 931517 0.013955041606564285 0 82343 false
5 54 55 113,712 931518 0.013320648792162701 0 82345 false
5 55 56 113,711 931519 0.014389754816508475 0 82344 false
5 56 57 113,712 931521 0.0141388560647324 0 82345 false
5 57 58 113,711 931559 0.011926327014605411 0 82344 false
5 58 59 113,709 931492 0.01424056310595339 0 82343 false
5 59 60 113,711 931528 0.011646932897737083 0 82344 false
5 60 61 113,715 931512 0.013437560453721834 0 82347 false
5 61 62 113,708 931521 0.014101019133430561 0 82342 false
5 62 63 113,713 931526 0.01406920794446125 0 82346 false
5 63 64 113,709 931527 0.014535157948712376 0 82343 false
5 64 65 113,716 931524 0.013529037399187883 0 82348 false
5 65 66 113,708 931524 0.013373146072551684 0 82342 false
5 66 67 113,712 931536 0.014496151089818063 0 82345 false
5 67 68 113,711 931506 0.014299605183214962 0 82344 false
5 68 69 113,711 931524 0.013438437425013569 0 82344 false
5 69 70 113,713 931542 0.012773126549912058 0 82346 false
5 70 71 113,711 931495 0.014289373184175171 0 82344 false
5 71 72 113,709 931516 0.01263259028625137 0 82343 false
5 72 73 113,712 931537 0.01244411803905347 0 82345 false
5 73 74 113,713 931507 0.0142953850613728 0 82346 false
5 74 75 113,688 931354 0.01302800111207548 0 82328 false
5 75 76 113,641 930965 0.014249698421710031 0 82294 false
5 76 77 113,715 931520 0.012507847426941505 0 82347 false
5 77 78 113,708 931524 0.013421840941266066 0 82342 false
5 78 79 113,716 931534 0.014300430566551763 0 82348 false
5 79 80 113,712 931515 0.014158986672552097 0 82345 false
5 80 81 113,67 931231 0.012299888091121652 0 82315 false
5 81 82 113,711 931486 0.01259466278660334 0 82344 false
5 82 83 113,711 931547 0.01308885174697677 0 82344 false
5 83 84 113,709 931491 0.012513051084240842 0 82343 false
5 84 85 113,713 931554 0.011379791280133209 0 82346 false
5 85 86 113,708 931484 0.013596603365580303 0 82342 false
5 86 87 113,712 931522 0.012635143509378156 0 82345 false
5 87 88 113,713 931523 0.012559208453317317 0 82346 false
5 88 89 113,708 931521 0.013434106711635575 0 82342 false
5 89 90 113,713 931524 0.013661649286501761 0 82346 false
5 90 91 113,712 931545 0.013611933863790579 0 82345 false
