-----------------------------------------------------------
Server listening on 50555
-----------------------------------------------------------
Accepted connection from 192.168.4.52, port 52078
[  5] local 192.168.4.11 port 50555 connected to 192.168.4.52 port 44752
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  10.9 MBytes  91.0 Mbits/sec  0.019 ms  0/1389 (0%)  
[  5]   1.00-2.00   sec  11.9 MBytes   100 Mbits/sec  0.017 ms  0/1526 (0%)  
[  5]   2.00-3.00   sec  11.9 MBytes   100 Mbits/sec  0.019 ms  0/1526 (0%)  
[  5]   3.00-4.00   sec  11.9 MBytes   100 Mbits/sec  0.016 ms  0/1526 (0%)  
[  5]   4.00-5.00   sec  11.9 MBytes  99.9 Mbits/sec  0.020 ms  0/1525 (0%)  
[  5]   5.00-6.00   sec  11.9 MBytes   100 Mbits/sec  0.020 ms  0/1526 (0%)  
[  5]   6.00-7.00   sec  11.9 MBytes   100 Mbits/sec  0.017 ms  0/1526 (0%)  
[  5]   7.00-8.00   sec  11.9 MBytes   100 Mbits/sec  0.017 ms  0/1526 (0%)  
[  5]   8.00-9.00   sec  11.9 MBytes   100 Mbits/sec  0.019 ms  0/1526 (0%)  
[  5]   9.00-10.00  sec  11.9 MBytes   100 Mbits/sec  0.016 ms  0/1526 (0%)  
[  5]  10.00-11.00  sec  11.9 MBytes   100 Mbits/sec  0.017 ms  0/1526 (0%)  
[  5]  11.00-12.00  sec  11.9 MBytes   100 Mbits/sec  0.019 ms  0/1526 (0%)  
[  5]  12.00-13.00  sec  11.9 MBytes   100 Mbits/sec  0.017 ms  0/1526 (0%)  
[  5]  13.00-14.00  sec  11.9 MBytes  99.9 Mbits/sec  0.017 ms  0/1525 (0%)  
[  5]  14.00-15.00  sec  11.9 MBytes   100 Mbits/sec  0.020 ms  0/1526 (0%)  
[  5]  15.00-16.00  sec  11.9 MBytes   100 Mbits/sec  0.020 ms  0/1526 (0%)  
[  5]  16.00-17.00  sec  11.9 MBytes   100 Mbits/sec  0.017 ms  0/1526 (0%)  
[  5]  17.00-18.00  sec  11.9 MBytes   100 Mbits/sec  0.019 ms  0/1526 (0%)  
[  5]  18.00-19.00  sec  11.6 MBytes  97.1 Mbits/sec  0.016 ms  44/1526 (2.9%)  
[  5]  19.00-20.00  sec  11.9 MBytes   100 Mbits/sec  0.017 ms  0/1526 (0%)  
[  5]  20.00-21.00  sec  11.9 MBytes   100 Mbits/sec  0.017 ms  0/1526 (0%)  
[  5]  21.00-22.00  sec  11.9 MBytes  99.9 Mbits/sec  0.020 ms  0/1525 (0%)  
[  5]  22.00-23.00  sec  11.9 MBytes   100 Mbits/sec  0.017 ms  0/1526 (0%)  
[  5]  23.00-24.00  sec  11.9 MBytes   100 Mbits/sec  0.022 ms  0/1526 (0%)  
[  5]  24.00-25.00  sec  11.9 MBytes   100 Mbits/sec  0.020 ms  0/1526 (0%)  
[  5]  25.00-26.00  sec  11.9 MBytes   100 Mbits/sec  0.019 ms  0/1526 (0%)  
[  5]  26.00-27.00  sec  11.9 MBytes   100 Mbits/sec  0.019 ms  0/1526 (0%)  
[  5]  27.00-28.00  sec  11.9 MBytes   100 Mbits/sec  0.017 ms  0/1526 (0%)  
[  5]  28.00-29.00  sec  11.9 MBytes   100 Mbits/sec  0.017 ms  0/1526 (0%)  
